| 初登場作品（以最早“首次登場”為準）           | 你清單中的角色                                                |
| ---------------------------- | ------------------------------------------------------ |
| TH01 東方靈異傳               	 	| 博麗靈夢 
                                                  
| TH02 東方封魔錄               	 	| 霧雨魔理沙   

| TH04 東方幻想鄉               	 	| 風見幽香       

| TH05 東方怪綺談               	 	| 愛麗絲·瑪格特洛伊德       

| TH06 東方紅魔鄉               	 	| 露米婭、大妖精、琪露諾、紅美鈴、小惡魔、帕秋莉·諾蕾姬、十六夜咲夜、蕾米莉雅·斯卡雷特、芙蘭朵露·斯卡蕾特  

| TH06 東方紅魔鄉      	 				| 冴月麟                                                    

| TH07 東方妖妖夢               	 	| 橙、莉莉卡·普莉茲姆利巴、梅露蘭·普莉茲姆利巴、露娜薩·普莉茲姆利巴、魂魄妖夢、西行寺幽幽子、八雲藍、八雲紫 

| TH07.5 東方萃夢想             	 	| 伊吹萃香                                                   

| TH08 東方永夜抄               	 	| 莉格露·奈特巴格、米斯蒂婭·羅蕾拉、上白澤慧音、因幡帝、鈴仙·優曇華院·因幡、八意永琳、蓬萊山輝夜、藤原妹紅 

| TH09 東方花映塚               	 	| 射命丸文、小野塚小町、四季映姬                                        

| TH10 東方風神錄               	 	| 秋靜葉、秋穰子、鍵山雛、河城荷取、犬走椛、八坂神奈子、洩矢諏訪子

| TH10.5 東方緋想天						| 比那名居天子

| TH11 東方地靈殿               	 	| 黑谷山女、水橋帕露西、星熊勇儀、古明地覺、火焰貓燐、靈烏路空、古明地戀                    

| TH12 東方星蓮船               	 	| 娜茲玲、多多良小傘、雲居一輪、村紗水蜜、寅丸星、聖白蓮、封獸鵺                        

| TH12.5 東方文花帖DS           	 	| 姬海棠果                                                   

| TH13 東方神靈廟               	 	| 幽谷響子、宮古芳香、霍青娥、蘇我屠自古、物部布都、豐聰耳神子                         

| TH13.5 東方心綺樓             	 	| 秦心                                                     

| TH14 東方輝針城               	 	| 若鷺姬、赤蠻奇、今泉影狼、九十九弁弁、九十九八橋、鬼人正邪、少名針妙丸、堀川雷鼓      

| TH15 東方紺珠傳               	 	| 稀神探女、克勞恩皮絲、純狐                                          

| TH16 東方天空璋               	 	| 愛塔妮緹·拉爾瓦、高麗野阿吽、矢田寺成美、爾子田里乃、丁禮田舞、摩多羅隠岐奈         

| TH17 東方鬼形獸               	 	| 庭渡久侘歌、吉弔八千慧、埴安神袿姬、驪駒早鬼                                 

| TH17.5 東方剛欲異聞           	 	| 饕餮尤魔                                                   

| TH18 東方虹龍洞               	 	| 豪德寺三花、山城高嶺、管牧典、飯鋼丸龍、天弓千亦、姬蟲百百世                     

| TH20 東方錦上京               	 	| 維縵·淺間                                                 

| 音樂CD							 	| 宇佐見蓮子、瑪艾露貝莉·赫恩                                         

| 出版物：東方香霖堂                    | 朱鷺子                                                    
| 出版物：東方儚月抄                    | 綿月豐姬                                                   
| 出版物：東方茨歌仙                    | 茨木華扇                                                   
| MOD / 表情變體（非官方“首次登場”分類）      | 博麗靈夢（妖怪）、博麗靈夢（悲傷）、茨木華扇（鬼）                              
